objectid,id_centrale,code_centrale,libelle_centrale,annee,libelle_groupage,type_compteur,type_comptage,nb_canaux,nb_annee,code_canal,mja_jo,mja_tcj,mja_pl_tcj,hp_johvs_matin,hp_johvs_soir,tir_tcj,v85ma_tcj,vtma_tcj,descriptif_periode,time_days,name,oneway,ref_mmm,highway,nom_commune,cycles,osm_id
1501,809,10316,MONTPELLIER. Avenue Henri Mares,2024,Sens cumulés,compteur permanent,comptage bidirectionnel,3,8,Z,15591,14432,,,,,,,du 26/02/2024 au 04/11/2024,252,Avenue Henri Marès,UNKNOWN, ,primary,Montpellier,Bande cyclable,36965216
1499,809,10316,MONTPELLIER. Avenue Henri Mares,2024,Cinsaults_Circe,compteur permanent,comptage bidirectionnel,3,8,v,7808,7295,,480 (12h00 - 13h00),558 (16h00 - 17h00),,,,du 26/02/2024 au 04/11/2024,252,Avenue Henri Marès,UNKNOWN, ,primary,Montpellier,Bande cyclable,36965216
1500,809,10316,MONTPELLIER. Avenue Henri Mares,2024,Circe_Cinsaults,compteur permanent,comptage bidirectionnel,3,8,w,7783,7137,,624 (8h00 - 9h00),509 (17h00 - 18h00),,,,du 26/02/2024 au 04/11/2024,252,Avenue Henri Marès,UNKNOWN, ,primary,Montpellier,Bande cyclable,36965216
937,1408,103456,MONTPELLIER. Rue de La Vieille Poste 2043,2024,Lamour_Nobel,compteur tournant,comptage unidirectionnel,1,6,0,6196,5311,150,534 (8h15 - 9h15),552 (17h15 - 18h15),3,44,33,du 25/07/2024 au 01/08/2024,7,Rue de la Vieille Poste,UNKNOWN, ,primary,Montpellier,Voie verte et assimilé,359585193
2395,934,103651,MONTPELLIER. Avenue Marie de Montpellier,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,3,Z,23153,21813,565,,,,,,du 21/05/2024 au 29/05/2024,8,Avenue Marie de Montpellier,YES, ,secondary,Montpellier, ,359148045
2393,934,103651,MONTPELLIER. Avenue Marie de Montpellier,2024,Messidor_Vendemiaire,compteur ponctuel,comptage bidirectionnel,3,3,v,14417,13578,358,1251 (8h00 - 9h00),977 (17h15 - 18h15),,,,du 21/05/2024 au 29/05/2024,8,Avenue Marie de Montpellier,YES, ,secondary,Montpellier, ,359148045
2394,934,103651,MONTPELLIER. Avenue Marie de Montpellier,2024,Vendemiaire_Messidor,compteur ponctuel,comptage bidirectionnel,3,3,w,8737,8235,207,515 (11h45 - 12h45),664 (17h30 - 18h30),,,,du 21/05/2024 au 29/05/2024,8,Avenue Marie de Montpellier,YES, ,secondary,Montpellier, ,359148045
7158,1739,10439,MONTPELLIER. Avenue Alphonse Juin,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,2,Z,4253,3629,87,,,,,,du 11/05/2024 au 18/05/2024,7,Avenue Alphonse Juin,UNKNOWN, ,residential,Montpellier, ,25752764
7156,1739,10439,MONTPELLIER. Avenue Alphonse Juin,2024,Malraux_Durand,compteur ponctuel,comptage bidirectionnel,3,2,0,2498,2135,48,183 (11h45 - 12h45),315 (17h15 - 18h15),54,39,27,du 11/05/2024 au 18/05/2024,7,Avenue Alphonse Juin,UNKNOWN, ,residential,Montpellier, ,25752764
7157,1739,10439,MONTPELLIER. Avenue Alphonse Juin,2024,Durand_Malraux,compteur ponctuel,comptage bidirectionnel,3,2,1,1755,1494,39,183 (8h15 - 9h15),177 (17h00 - 18h00),43,37,24,du 11/05/2024 au 18/05/2024,7,Avenue Alphonse Juin,UNKNOWN, ,residential,Montpellier, ,25752764
5925,75614,104623,MONTPELLIER . Impasse Flouch,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,317,278,2,,,,,,du 22/01/2024 au 30/01/2024,8,Impasse Flouch,YES, ,residential,Montpellier, ,360745650
