objectid,id_centrale,code_centrale,libelle_centrale,annee,libelle_groupage,type_compteur,type_comptage,nb_canaux,nb_annee,code_canal,mja_jo,mja_tcj,mja_pl_tcj,hp_johvs_matin,hp_johvs_soir,tir_tcj,v85ma_tcj,vtma_tcj,descriptif_periode,time_days,name,oneway,ref_mmm,highway,nom_commune,cycles,osm_id
5987,1184,39530,LATTES. RM58 3119,2023,Sens cumulés,compteur tournant,comptage bidirectionnel,3,7,Z,9861,8644,34,,,,,,du 19/03/2023 au 11/11/2023,237,Avenue de l'Agau,UNKNOWN, ,tertiary,Lattes, ,26476254
5985,1184,39530,LATTES. RM58 3119,2023,RM21_RM189,compteur tournant,comptage bidirectionnel,3,7,0,5655,4984,22,355 (12h00 - 13h00),687 (17h00 - 18h00),85,72,60,du 19/03/2023 au 11/11/2023,237,Avenue de l'Agau,UNKNOWN, ,tertiary,Lattes, ,26476254
5986,1184,39530,LATTES. RM58 3119,2023,RM189_RM21,compteur tournant,comptage bidirectionnel,3,7,1,4206,3660,12,578 (7h45 - 8h45),299 (17h30 - 18h30),83,69,58,du 19/03/2023 au 11/11/2023,237,Avenue de l'Agau,UNKNOWN, ,tertiary,Lattes, ,26476254
4525,1756,39585,MONTPELLIER. Rue Hilaire Ricard,2023,Baumes_Pitot,compteur ponctuel,comptage unidirectionnel,1,2,0,10,10,,2 (11h00 - 12h00),1 (17h00 - 18h00),,26,15,du 06/11/2023 au 12/11/2023,6,Rue Hilaire Ricard,YES, ,secondary,Montpellier, ,22961901
3752,2025,39859,MONTPELLIER. Rue Rondelet,2023,Grand Saint Jean_Saint Denis,compteur ponctuel,comptage unidirectionnel,1,2,0,3401,3155,,198 (12h00 - 13h00),246 (18h00 - 19h00),,39,28,du 06/12/2023 au 12/12/2023,6,Rue Rondelet,YES, ,residential,Montpellier, ,36989624
5653,75597,40110,CLAPIERS . Av de la fontaine ,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,4372,4136,47,,,,,,du 15/12/2023 au 22/12/2023,7,Avenue du Martinet,UNKNOWN, ,residential,Clapiers, ,30243560
5651,75597,40110,CLAPIERS . Av de la fontaine ,2023, Montferrier _ Liberté,compteur ponctuel,comptage bidirectionnel,3,1,0,2343,2207,35,205 (7h30 - 8h30),215 (16h15 - 17h15),3,44,33,du 15/12/2023 au 22/12/2023,7,Avenue du Martinet,UNKNOWN, ,residential,Clapiers, ,30243560
5652,75597,40110,CLAPIERS . Av de la fontaine ,2023,Liberté _ Montferrier,compteur ponctuel,comptage bidirectionnel,3,1,1,2029,1929,12,159 (11h45 - 12h45),215 (17h30 - 18h30),2,40,30,du 15/12/2023 au 22/12/2023,7,Avenue du Martinet,UNKNOWN, ,residential,Clapiers, ,30243560
8224,8,4032,RM066 LAPLAUCHUDE - MMT34.l,2023,Sens cumulés,compteur permanent,comptage bidirectionnel,3,12,Z,71857,67834,2588,,,,,,du 01/01/2023 au 31/12/2023,364, ,YES, ,trunk,Montpellier, ,22897366
8222,8,4032,RM066 LAPLAUCHUDE - MMT34.l,2023,Montpellier_Lattes,compteur permanent,comptage bidirectionnel,3,12,0,37864,35807,1374,2927 (8h00 - 9h00),2703 (17h00 - 18h00),50,106,92,du 01/01/2023 au 31/12/2023,364, ,YES, ,trunk,Montpellier, ,22897366
8223,8,4032,RM066 LAPLAUCHUDE - MMT34.l,2023,Lattes_Montpellier,compteur permanent,comptage bidirectionnel,3,12,1,33993,32027,1214,2587 (8h00 - 9h00),2668 (17h00 - 18h00),47,105,91,du 01/01/2023 au 31/12/2023,364, ,YES, ,trunk,Montpellier, ,22897366
3881,55957,4097,MONTPELLIER. Boulevard Ernest Renan,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,575,509,,,,,,,du 22/05/2023 au 28/05/2023,6,Boulevard Ernest Renan,UNKNOWN, ,residential,Montpellier, ,22937248
3879,55957,4097,MONTPELLIER. Boulevard Ernest Renan,2023,Lacombe_Bel Air,compteur ponctuel,comptage bidirectionnel,3,1,0,296,263,,25 (8h00 - 9h00),30 (17h00 - 18h00),,27,16,du 22/05/2023 au 28/05/2023,6,Boulevard Ernest Renan,UNKNOWN, ,residential,Montpellier, ,22937248
3880,55957,4097,MONTPELLIER. Boulevard Ernest Renan,2023,Bel Air_Lacombe,compteur ponctuel,comptage bidirectionnel,3,1,1,279,246,,35 (8h00 - 9h00),25 (18h00 - 19h00),,28,16,du 22/05/2023 au 28/05/2023,6,Boulevard Ernest Renan,UNKNOWN, ,residential,Montpellier, ,22937248
163,327,4101,MONTPELLIER. Avenue Xavier de Ricard,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,2,Z,1564,1417,,,,,,,du 22/05/2023 au 28/05/2023,6,Avenue Xavier de Ricard,UNKNOWN, ,residential,Montpellier,Voie verte et assimilé,22900635
162,327,4101,MONTPELLIER. Avenue Xavier de Ricard,2023,Rossignols-Sarda,compteur ponctuel,comptage bidirectionnel,3,2,1,842,760,,61 (8h00 - 9h00),79 (18h00 - 19h00),3,40,29,du 22/05/2023 au 28/05/2023,6,Avenue Xavier de Ricard,UNKNOWN, ,residential,Montpellier,Voie verte et assimilé,22900635
161,327,4101,MONTPELLIER. Avenue Xavier de Ricard,2023,Sarda-Rossignols,compteur ponctuel,comptage bidirectionnel,3,2,0,722,657,,58 (8h00 - 9h00),72 (18h00 - 19h00),4,45,33,du 22/05/2023 au 28/05/2023,6,Avenue Xavier de Ricard,UNKNOWN, ,residential,Montpellier,Voie verte et assimilé,22900635
282,489,41105,MONTPELLIER. Avenue de Toulouse,2023,Azema_Granier,compteur feux,comptage unidirectionnel,1,9,0,8456,8044,,505 (12h00 - 13h00),638 (17h00 - 18h00),,,,du 01/03/2023 au 31/12/2023,305,Avenue de Toulouse,UNKNOWN, ,secondary,Montpellier,Bande cyclable gauche,22950505
4911,25,41128,MONTPELLIER. RM132 METRO,2023,Sens cumulés,compteur permanent,comptage bidirectionnel,3,12,Z,17797,16897,1064,,,,,,du 01/01/2023 au 31/12/2023,364,Rue François-Joseph Gossec,UNKNOWN, ,secondary,Montpellier, ,25775415
4909,25,41128,MONTPELLIER. RM132 METRO,2023,Montels_Mehul,compteur permanent,comptage bidirectionnel,3,12,0,9288,8829,553,680 (10h00 - 11h00),702 (14h00 - 15h00),64,61,52,du 01/01/2023 au 31/12/2023,364,Rue François-Joseph Gossec,UNKNOWN, ,secondary,Montpellier, ,25775415
4910,25,41128,MONTPELLIER. RM132 METRO,2023,Mehul_Montels,compteur permanent,comptage bidirectionnel,3,12,1,8509,8068,511,681 (11h00 - 12h00),693 (14h00 - 15h00),59,60,52,du 01/01/2023 au 31/12/2023,364,Rue François-Joseph Gossec,UNKNOWN, ,secondary,Montpellier, ,25775415
9174,1012,4114,LATTES. RM132 3132,2023,Sens cumulés,compteur tournant,comptage bidirectionnel,3,8,Z,20847,19495,210,,,,,,du 19/03/2023 au 14/11/2023,240, ,UNKNOWN, ,secondary,Lattes, ,22900704
9172,1012,4114,LATTES. RM132 3132,2023,A709_RM65,compteur tournant,comptage bidirectionnel,3,8,0,10692,10176,122,682 (11h30 - 12h30),877 (16h30 - 17h30),1,66,57,du 19/03/2023 au 14/11/2023,240, ,UNKNOWN, ,secondary,Lattes, ,22900704
9173,1012,4114,LATTES. RM132 3132,2023,RM65_A709,compteur tournant,comptage bidirectionnel,3,8,1,10155,9319,88,757 (11h30 - 12h30),907 (16h45 - 17h45),1,67,58,du 19/03/2023 au 14/11/2023,240, ,UNKNOWN, ,secondary,Lattes, ,22900704
2969,817,41758,MONTPELLIER. Rue de la Metairie de l'Oiseau,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,3,Z,1655,1458,10,,,,,,du 03/06/2023 au 09/06/2023,6,Rue de la Métairie de l'Oiseau,UNKNOWN, ,residential,Montpellier, ,34201031
2968,817,41758,MONTPELLIER. Rue de la Metairie de l'Oiseau,2023,Genets_Dezeuze,compteur ponctuel,comptage bidirectionnel,3,3,1,933,807,7,115 (8h00 - 9h00),104 (16h45 - 17h45),89,49,39,du 03/06/2023 au 09/06/2023,6,Rue de la Métairie de l'Oiseau,UNKNOWN, ,residential,Montpellier, ,34201031
2967,817,41758,MONTPELLIER. Rue de la Metairie de l'Oiseau,2023,Dezeuze_Genets,compteur ponctuel,comptage bidirectionnel,3,3,0,722,651,3,59 (8h00 - 9h00),75 (16h30 - 17h30),87,49,38,du 03/06/2023 au 09/06/2023,6,Rue de la Métairie de l'Oiseau,UNKNOWN, ,residential,Montpellier, ,34201031
4615,1022,41787,MONTPELLIER. Rue des Renoncules,2023,Figuerolles_Figairasse,compteur ponctuel,comptage unidirectionnel,1,4,0,2066,1862,11,145 (11h30 - 12h30),232 (17h30 - 18h30),43,37,24,du 07/09/2023 au 15/09/2023,8,Rue des Renoncules,YES, ,residential,Montpellier, ,31298339
8959,27,41797,RM132E2 SAINT JEAN - MMt34.o,2023,Sens cumulés,compteur permanent,comptage bidirectionnel,3,12,Z,19652,19606,1998,,,,,,du 01/01/2023 au 31/12/2023,364, ,UNKNOWN, ,primary,Saint-Jean-de-Védas, ,4296704
8958,27,41797,RM132E2 SAINT JEAN - MMt34.o,2023,Laverune_Saint Jean,compteur permanent,comptage bidirectionnel,3,12,1,10019,9896,969,830 (7h00 - 8h00),676 (13h00 - 14h00),46,88,79,du 01/01/2023 au 31/12/2023,364, ,UNKNOWN, ,primary,Saint-Jean-de-Védas, ,4296704
8957,27,41797,RM132E2 SAINT JEAN - MMt34.o,2023,Saint Jean_Laverune,compteur permanent,comptage bidirectionnel,3,12,0,9633,9710,1029,640 (11h00 - 12h00),635 (13h00 - 14h00),18,82,72,du 01/01/2023 au 31/12/2023,364, ,UNKNOWN, ,primary,Saint-Jean-de-Védas, ,4296704
7271,527,41819,MONTPELLIER. Rue de Font Couverte,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,2,Z,5349,4727,38,,,,,,du 13/06/2023 au 21/06/2023,8,Rue de Font-Couverte,UNKNOWN, ,residential,Montpellier, ,26392822
7269,527,41819,MONTPELLIER. Rue de Font Couverte,2023,Chasseurs_Capitaine,compteur ponctuel,comptage bidirectionnel,3,2,0,3068,2603,29,344 (8h15 - 9h15),221 (18h00 - 19h00),70,42,31,du 13/06/2023 au 21/06/2023,8,Rue de Font-Couverte,UNKNOWN, ,residential,Montpellier, ,26392822
7270,527,41819,MONTPELLIER. Rue de Font Couverte,2023,Capitaine_Chasseurs,compteur ponctuel,comptage bidirectionnel,3,2,1,2281,2124,9,136 (12h00 - 13h00),217 (17h00 - 18h00),43,38,25,du 13/06/2023 au 21/06/2023,8,Rue de Font-Couverte,UNKNOWN, ,residential,Montpellier, ,26392822
3140,83516,42019,MONTPELLIER. Rue Saint Louis,2023,Serres_Paladilhe,compteur ponctuel,comptage unidirectionnel,1,1,0,2308,2115,,173 (12h00 - 13h00),196 (17h00 - 18h00),,39,30,du 06/11/2023 au 12/11/2023,6,Rue Saint-Louis,YES, ,secondary,Montpellier, ,36965852
1940,75524,4219,SAUSSAN. Rue Coppe Cambe,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,807,772,3,,,,,,du 12/09/2023 au 20/09/2023,8, ,UNKNOWN, ,tertiary,Saussan, ,34150984
1938,75524,4219,SAUSSAN. Rue Coppe Cambe,2023,Font Romana_Puech Lagastie,compteur ponctuel,comptage bidirectionnel,3,1,0,427,382,2,49 (7h45 - 8h45),35 (17h00 - 18h00),60,39,28,du 12/09/2023 au 20/09/2023,8, ,UNKNOWN, ,tertiary,Saussan, ,34150984
1939,75524,4219,SAUSSAN. Rue Coppe Cambe,2023,Puech Lagastie_Coppe Cambe,compteur ponctuel,comptage bidirectionnel,3,1,1,380,390,1,32 (11h30 - 12h30),44 (18h00 - 19h00),62,40,29,du 12/09/2023 au 20/09/2023,8, ,UNKNOWN, ,tertiary,Saussan, ,34150984
3929,34,42210,MONTPELLIER. Avenue du Colonnel Pavelet,2023,Sens cumulés,compteur feux,comptage bidirectionnel,3,9,Z,35589,33504,,,,,,,du 01/01/2023 au 31/12/2023,364,Avenue du Colonel Pavelet,YES, ,primary,Montpellier, ,81227025
3928,34,42210,MONTPELLIER. Avenue du Colonnel Pavelet,2023,Valery_Cholet,compteur feux,comptage bidirectionnel,3,9,1,19017,17861,,1358 (7h00 - 8h00),1225 (14h00 - 15h00),,,,du 01/01/2023 au 31/12/2023,364,Avenue du Colonel Pavelet,YES, ,primary,Montpellier, ,81227025
3927,34,42210,MONTPELLIER. Avenue du Colonnel Pavelet,2023,Cholet_Valery,compteur feux,comptage bidirectionnel,3,9,0,16572,15643,,1069 (12h00 - 13h00),1196 (16h00 - 17h00),,,,du 01/01/2023 au 31/12/2023,364,Avenue du Colonel Pavelet,YES, ,primary,Montpellier, ,81227025
570,1001,42302,MONTPELLIER. Avenue du Mondial 98,2023,Vinci_Odysseum,compteur feux,comptage unidirectionnel,1,9,0,6007,5417,,690 (8h00 - 9h00),415 (17h00 - 18h00),,,,du 01/01/2023 au 31/12/2023,364,Avenue du Mondial 98,YES, ,secondary,Montpellier,Bande cyclable droite,25759737
793,55854,42303,MONTPELLIER. Avenue du Mondial 98,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,13395,12258,789,,,,,,du 06/03/2023 au 12/03/2023,6,Avenue du Mondial 98,YES, ,secondary,Montpellier,Bande cyclable droite,23943866
792,55854,42303,MONTPELLIER. Avenue du Mondial 98,2023,Mas Rouge_Cavalade,compteur ponctuel,comptage bidirectionnel,3,1,1,6984,6396,395,810 (8h00 - 9h00),498 (17h30 - 18h30),12,49,40,du 06/03/2023 au 12/03/2023,6,Avenue du Mondial 98,YES, ,secondary,Montpellier,Bande cyclable droite,23943866
791,55854,42303,MONTPELLIER. Avenue du Mondial 98,2023,Cavalade_Mas Rouge,compteur ponctuel,comptage bidirectionnel,3,1,0,6411,5862,394,440 (12h00 - 13h00),730 (17h15 - 18h15),13,49,40,du 06/03/2023 au 12/03/2023,6,Avenue du Mondial 98,YES, ,secondary,Montpellier,Bande cyclable droite,23943866
4926,767,42305,MONTPELLIER. Rue Le Titien,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,2,Z,3620,3191,,,,,,,du 28/09/2023 au 04/10/2023,6,Rue Léonard de Vinci,UNKNOWN, ,residential,Montpellier, ,25964310
4924,767,42305,MONTPELLIER. Rue Le Titien,2023,Einstein-Mondial98,compteur ponctuel,comptage bidirectionnel,3,2,0,1886,1678,,186 (8h00 - 9h00),250 (17h00 - 18h00),,,,du 28/09/2023 au 04/10/2023,6,Rue Léonard de Vinci,UNKNOWN, ,residential,Montpellier, ,25964310
4925,767,42305,MONTPELLIER. Rue Le Titien,2023,Mondial-Einstein,compteur ponctuel,comptage bidirectionnel,3,2,1,1734,1513,,186 (8h00 - 9h00),237 (17h00 - 18h00),,,,du 28/09/2023 au 04/10/2023,6,Rue Léonard de Vinci,UNKNOWN, ,residential,Montpellier, ,25964310
7610,83523,42341,MONTPELLIER. Rue Edouard Villalonga,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,637,488,,,,,,,du 14/12/2023 au 20/12/2023,6,Rue Édouard Villalonga,UNKNOWN, ,residential,Montpellier, ,25936470
7608,83523,42341,MONTPELLIER. Rue Edouard Villalonga,2023,Papin_Impasse,compteur ponctuel,comptage bidirectionnel,3,1,0,320,246,,47 (8h00 - 9h00),44 (17h00 - 18h00),,17,10,du 14/12/2023 au 20/12/2023,6,Rue Édouard Villalonga,UNKNOWN, ,residential,Montpellier, ,25936470
7609,83523,42341,MONTPELLIER. Rue Edouard Villalonga,2023,Impasse_Papin,compteur ponctuel,comptage bidirectionnel,3,1,1,317,242,,46 (8h00 - 9h00),45 (17h00 - 18h00),,17,10,du 14/12/2023 au 20/12/2023,6,Rue Édouard Villalonga,UNKNOWN, ,residential,Montpellier, ,25936470
3374,605,42382,MONTPELLIER. Boulevard Jacques Fabre de Morlhon,2023,Liberte_Pres d'Arenes,compteur feux,comptage unidirectionnel,1,9,0,16748,16503,,1104 (7h00 - 8h00),1001 (16h00 - 17h00),,,,du 01/01/2023 au 31/12/2023,364,Boulevard Jacques Fabre de Morlhon,YES, ,primary,Montpellier, ,38185909
2018,2003,42424,MONTPELLIER. Rue Poseidon,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,2,Z,9277,8697,,,,,,,du 13/12/2023 au 19/12/2023,6,Rue Poséidon,UNKNOWN, ,secondary,Montpellier, ,26803782
2016,2003,42424,MONTPELLIER. Rue Poseidon,2023,Cartier_Aeroport International,compteur ponctuel,comptage bidirectionnel,3,2,0,4866,4561,,357 (8h00 - 9h00),383 (17h00 - 18h00),,29,18,du 13/12/2023 au 19/12/2023,6,Rue Poséidon,UNKNOWN, ,secondary,Montpellier, ,26803782
2017,2003,42424,MONTPELLIER. Rue Poseidon,2023,Aeroport International_Cartier,compteur ponctuel,comptage bidirectionnel,3,2,1,4411,4136,,285 (11h00 - 12h00),362 (17h00 - 18h00),,28,17,du 13/12/2023 au 19/12/2023,6,Rue Poséidon,UNKNOWN, ,secondary,Montpellier, ,26803782
1937,55811,42592,MONTPELLIER. Rue de la Taillade,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,5430,4807,26,,,,,,du 26/01/2023 au 03/02/2023,8,Rue de la Taillade,UNKNOWN, ,residential,Montpellier, ,28888844
1936,55811,42592,MONTPELLIER. Rue de la Taillade,2023,Lodeve_Liberte,compteur ponctuel,comptage bidirectionnel,3,1,1,2824,2662,12,241 (12h00 - 13h00),248 (14h45 - 15h45),6,27,16,du 26/01/2023 au 03/02/2023,8,Rue de la Taillade,UNKNOWN, ,residential,Montpellier, ,28888844
1935,55811,42592,MONTPELLIER. Rue de la Taillade,2023,Liberte_Lodeve,compteur ponctuel,comptage bidirectionnel,3,1,0,2606,2145,14,318 (7h45 - 8h45),215 (13h45 - 14h45),14,30,18,du 26/01/2023 au 03/02/2023,8,Rue de la Taillade,UNKNOWN, ,residential,Montpellier, ,28888844
3541,75553,42620,MONTPELLIER . Route de laverune ,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,5988,5662,21,,,,,,du 12/10/2023 au 19/10/2023,7,Route de Lavérune,UNKNOWN, ,secondary,Montpellier, ,31427414
3539,75553,42620,MONTPELLIER . Route de laverune ,2023,chasseurs_capitaine,compteur ponctuel,comptage bidirectionnel,3,1,0,5512,5207,20,375 (11h45 - 12h45),428 (18h00 - 19h00),79,47,35,du 12/10/2023 au 19/10/2023,7,Route de Lavérune,UNKNOWN, ,secondary,Montpellier, ,31427414
3540,75553,42620,MONTPELLIER . Route de laverune ,2023,capitaine_chasseurs,compteur ponctuel,comptage bidirectionnel,3,1,1,476,455,1,33 (11h15 - 12h15),46 (17h00 - 18h00),77,48,35,du 12/10/2023 au 19/10/2023,7,Route de Lavérune,UNKNOWN, ,secondary,Montpellier, ,31427414
2584,336,42824,MONTPELLIER. Rue de Tarragone,2023,Mediterranee_Perier,compteur ponctuel,comptage unidirectionnel,1,3,0,693,607,1,73 (8h00 - 9h00),62 (16h00 - 17h00),10,28,19,du 05/12/2023 au 11/12/2023,6,Rue de Tarragone,YES, ,residential,Montpellier, ,23634700
3933,55964,42825,MONTPELLIER. Rue François Perier,2023,Juvenal_Tarragone,compteur ponctuel,comptage unidirectionnel,1,1,0,121,110,4,8 (8h15 - 9h15),13 (19h30 - 20h30),7,28,17,du 14/06/2023 au 22/06/2023,8,Rue François Périer,YES, ,residential,Montpellier, ,23634707
2244,75916,42853,MONTPELLIER. Boulevard d'Orient,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,2,Z,14831,14114,,,,,,,du 23/11/2023 au 29/11/2023,6,Boulevard d'Orient,YES, ,secondary,Montpellier, ,25529560
2243,75916,42853,MONTPELLIER. Boulevard d'Orient,2023,Strasbourg_Palavas,compteur ponctuel,comptage bidirectionnel,3,2,1,8379,8096,,546 (12h00 - 13h00),568 (16h00 - 17h00),85,52,41,du 23/11/2023 au 29/11/2023,6,Boulevard d'Orient,YES, ,secondary,Montpellier, ,25529560
2242,75916,42853,MONTPELLIER. Boulevard d'Orient,2023,Palavas_Strasbourg,compteur ponctuel,comptage bidirectionnel,3,2,0,6452,6018,,646 (8h00 - 9h00),409 (13h00 - 14h00),89,50,41,du 23/11/2023 au 29/11/2023,6,Boulevard d'Orient,YES, ,secondary,Montpellier, ,25529560
9207,678,43268,MONTPELLIER. Avenue President Pierre Mendes France (Radar),2023,Sens cumulés,compteur permanent,comptage bidirectionnel,3,10,Z,66987,61793,1404,,,,,,du 01/01/2023 au 31/12/2023,364,Avenue Président Pierre Mendès France,YES, ,primary,Montpellier, ,29131129
9205,678,43268,MONTPELLIER. Avenue President Pierre Mendes France (Radar),2023,Mogère_Galois,compteur permanent,comptage bidirectionnel,3,10,0,34988,32132,801,3179 (8h00 - 9h00),2500 (18h00 - 19h00),2,67,58,du 01/01/2023 au 31/12/2023,364,Avenue Président Pierre Mendès France,YES, ,primary,Montpellier, ,29131129
9206,678,43268,MONTPELLIER. Avenue President Pierre Mendes France (Radar),2023,Galois_Mogère,compteur permanent,comptage bidirectionnel,3,10,1,31999,29661,603,2576 (8h00 - 9h00),2547 (17h00 - 18h00),2,67,57,du 01/01/2023 au 31/12/2023,364,Avenue Président Pierre Mendès France,YES, ,primary,Montpellier, ,29131129
18,979,43286,MONTPELLIER. Avenue du Pont Juvenal,2023,Cartier_Piree,compteur feux,comptage unidirectionnel,1,9,0,7315,6776,,554 (8h00 - 9h00),587 (17h00 - 18h00),,,,du 01/01/2023 au 31/12/2023,364,Avenue du Pont Juvénal,YES, ,secondary,Montpellier,Bande cyclable droite,81760596
4682,534,43416,MONTPELLIER. Rue Mion Saint Michel,2023,Leclerc_Vachet,compteur ponctuel,comptage unidirectionnel,1,2,0,861,794,,64 (8h00 - 9h00),96 (17h00 - 18h00),49,39,28,du 13/12/2023 au 19/12/2023,6,Rue Mion Saint-Michel,YES, ,residential,Montpellier, ,42778164
982,1970,43444,CASTELNAU LE LEZ. Route de Nimes Nord (Velos),2023,Sens cumulés,compteur permanent vélo,comptage bidirectionnel,3,3,Z,165,146,,,,,,,du 01/01/2023 au 31/12/2023,364, ,YES, ,cycleway,Castelnau-le-Lez,Piste cyclable,60703759
980,1970,43444,CASTELNAU LE LEZ. Route de Nimes Nord (Velos),2023,RM65E1-Adenauer,compteur permanent vélo,comptage bidirectionnel,3,3,0,112,99,,14 (8h00 - 9h00),13 (17h00 - 18h00),,,,du 01/01/2023 au 31/12/2023,364, ,YES, ,cycleway,Castelnau-le-Lez,Piste cyclable,60703759
981,1970,43444,CASTELNAU LE LEZ. Route de Nimes Nord (Velos),2023,Adenauer_RM65E1,compteur permanent vélo,comptage bidirectionnel,3,3,1,53,47,,5 (8h00 - 9h00),6 (18h00 - 19h00),,,,du 01/01/2023 au 31/12/2023,364, ,YES, ,cycleway,Castelnau-le-Lez,Piste cyclable,60703759
991,1967,43448,CASTELNAU LE LEZ. Route de Nimes Sud (Velos),2023,Sens cumulés,compteur permanent vélo,comptage bidirectionnel,3,3,Z,81,68,,,,,,,du 01/01/2023 au 31/12/2023,364, ,YES, ,cycleway,Castelnau-le-Lez,Piste cyclable,60703959
989,1967,43448,CASTELNAU LE LEZ. Route de Nimes Sud (Velos),2023,RM65E1_Adenauer,compteur permanent vélo,comptage bidirectionnel,3,3,0,44,36,,4 (8h00 - 9h00),7 (17h00 - 18h00),,,,du 01/01/2023 au 31/12/2023,364, ,YES, ,cycleway,Castelnau-le-Lez,Piste cyclable,60703959
990,1967,43448,CASTELNAU LE LEZ. Route de Nimes Sud (Velos),2023,Adenauer_RM65E1,compteur permanent vélo,comptage bidirectionnel,3,3,1,37,32,,3 (8h00 - 9h00),4 (18h00 - 19h00),,,,du 01/01/2023 au 31/12/2023,364, ,YES, ,cycleway,Castelnau-le-Lez,Piste cyclable,60703959
4207,75533,44047,CASTELNAU LE LEZ. Chemin des Buissonnets,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,351,317,0,,,,,,du 07/10/2023 au 14/10/2023,7,Chemin des Buissonnets,UNKNOWN, ,residential,Castelnau-le-Lez, ,81449096
4205,75533,44047,CASTELNAU LE LEZ. Chemin des Buissonnets,2023,Genevriers_Balestrier,compteur ponctuel,comptage bidirectionnel,3,1,0,215,196,0,20 (11h45 - 12h45),25 (18h15 - 19h15),40,58,45,du 07/10/2023 au 14/10/2023,7,Chemin des Buissonnets,UNKNOWN, ,residential,Castelnau-le-Lez, ,81449096
4206,75533,44047,CASTELNAU LE LEZ. Chemin des Buissonnets,2023,Balestrier_Genevriers,compteur ponctuel,comptage bidirectionnel,3,1,1,136,121,0,14 (8h00 - 9h00),14 (17h15 - 18h15),12,49,37,du 07/10/2023 au 14/10/2023,7,Chemin des Buissonnets,UNKNOWN, ,residential,Castelnau-le-Lez, ,81449096
7915,75557,44469,CASTELNAU LE LEZ. Avenue des Venus,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,2415,2165,4,,,,,,du 04/10/2023 au 12/10/2023,8,Avenue des Vénus,UNKNOWN, ,residential,Castelnau-le-Lez, ,28067955
7914,75557,44469,CASTELNAU LE LEZ. Avenue des Venus,2023,Compagnons_Brutus,compteur ponctuel,comptage bidirectionnel,3,1,1,1209,1077,2,118 (8h15 - 9h15),151 (16h45 - 17h45),97,54,45,du 04/10/2023 au 12/10/2023,8,Avenue des Vénus,UNKNOWN, ,residential,Castelnau-le-Lez, ,28067955
7913,75557,44469,CASTELNAU LE LEZ. Avenue des Venus,2023,Brutus_Compagnons,compteur ponctuel,comptage bidirectionnel,3,1,0,1206,1088,2,137 (8h15 - 9h15),131 (17h00 - 18h00),96,54,44,du 04/10/2023 au 12/10/2023,8,Avenue des Vénus,UNKNOWN, ,residential,Castelnau-le-Lez, ,28067955
1980,55858,44647,MURVIEL LES MONTPELLIER. Rue des Lavoirs,2023,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,271,257,0,,,,,,du 07/03/2023 au 14/03/2023,7,Rue des Lavoirs,UNKNOWN, ,residential,Murviel-lès-Montpellier, ,55595339
1978,55858,44647,MURVIEL LES MONTPELLIER. Rue des Lavoirs,2023,Jardins_RM102,compteur ponctuel,comptage bidirectionnel,3,1,0,137,129,0,17 (8h00 - 9h00),16 (17h00 - 18h00),29,35,21,du 07/03/2023 au 14/03/2023,7,Rue des Lavoirs,UNKNOWN, ,residential,Murviel-lès-Montpellier, ,55595339
1979,55858,44647,MURVIEL LES MONTPELLIER. Rue des Lavoirs,2023,RM102_Jardins,compteur ponctuel,comptage bidirectionnel,3,1,1,134,128,0,15 (8h00 - 9h00),19 (17h30 - 18h30),19,32,19,du 07/03/2023 au 14/03/2023,7,Rue des Lavoirs,UNKNOWN, ,residential,Murviel-lès-Montpellier, ,55595339
523,1716,4465,MONTPELLIER. Avenue de Palavas,2023,Rabelais_Strasbourg,compteur ponctuel,comptage unidirectionnel,1,3,0,6297,5779,,471 (8h00 - 9h00),522 (17h00 - 18h00),1,37,26,du 23/11/2023 au 29/11/2023,6,Avenue de Palavas,YES, ,secondary,Montpellier,Bande cyclable droite,37214985
1558,33,44673,MONTPELLIER. Avenue de Toulouse,2023,Sens cumulés,compteur feux,comptage bidirectionnel,3,9,Z,37612,35325,,,,,,,du 01/01/2023 au 05/11/2023,308,Avenue de Toulouse,UNKNOWN, ,primary,Montpellier, ,16123132
