JAHR;MONAT;ZNR;ZNAME;STRTYP;STRNR;RINAME;FZTYP;DTVMS;DTVMF;DTVMO;DTVDD;DTVFR;DTVSA;DTVSF;TVMAX;TVMAXT
2024;MÄRZ;1177;Handelskai;B;14;Freudenau;Kfz;11757;12901;12392;13135;12745;9929;8781;14075;Do,14.03.
2024;MÄRZ;1177;Handelskai;B;14;Freudenau;LkwÄ;543;741;786;786;599;134;117;883;Mo,18.03.
2024;MÄRZ;1177;Handelskai;B;14;Gesamt;Kfz;21629;23700;22917;24092;23385;18317;16243;25452;Do,14.03.
2024;MÄRZ;1177;Handelskai;B;14;Gesamt;LkwÄ;959;1308;1407;1386;1041;249;204;1514;Mo,18.03.
2024;MÄRZ;1179;Brunner Straße;B;12;Zentrum;Kfz;12826;14690;14626;14784;14513;10483;7340;15419;Do,28.03.
2024;MÄRZ;1179;Brunner Straße;B;12;Zentrum;LkwÄ;953;1289;1350;1324;1157;328;165;1413;Mo,18.03.
2024;MÄRZ;1179;Brunner Straße;B;12;Brunn am Gebirge;Kfz;17344;19331;19120;19246;19703;15338;11009;20095;Fr,22.03.
2024;MÄRZ;1179;Brunner Straße;B;12;Brunn am Gebirge;LkwÄ;1163;1563;1642;1613;1378;418;229;1714;Mi,20.03.
2024;MÄRZ;1179;Brunner Straße;B;12;Gesamt;Kfz;30170;34020;33746;34030;34216;25821;18349;35027;Do,28.03.
2024;MÄRZ;1179;Brunner Straße;B;12;Gesamt;LkwÄ;2116;2852;2992;2937;2535;746;394;3089;Do,21.03.
2024;MÄRZ;1180;Hochstraße;B;13;Zentrum;Kfz;5052;5508;5256;5498;5733;4419;3770;6011;Fr,22.03.
2024;MÄRZ;1180;Hochstraße;B;13;Zentrum;LkwÄ;235;294;296;303;272;124;94;332;Do,14.03.
2024;MÄRZ;1180;Hochstraße;B;13;Perchtoldsdorf;Kfz;5271;5768;5482;5735;6075;4532;3921;6451;Fr,22.03.
2024;MÄRZ;1180;Hochstraße;B;13;Perchtoldsdorf;LkwÄ;239;301;297;311;280;120;96;341;Mi,13.03.
2024;MÄRZ;1180;Hochstraße;B;13;Gesamt;Kfz;10323;11275;10738;11233;11807;8951;7691;12462;Fr,22.03.
2024;MÄRZ;1180;Hochstraße;B;13;Gesamt;LkwÄ;473;595;593;614;551;244;190;664;Do,14.03.
2024;MÄRZ;1181;Breitenfurter Straße;B;13;Zentrum;Kfz;6466;6940;6722;6866;7292;5899;5040;7655;Fr,22.03.
2024;MÄRZ;1181;Breitenfurter Straße;B;13;Zentrum;LkwÄ;237;294;286;301;281;144;91;338;Di,19.03.
2024;MÄRZ;1181;Breitenfurter Straße;B;13;Breitenfurt;Kfz;6341;6870;6666;6854;7071;5703;4756;7375;Fr,22.03.
2024;MÄRZ;1181;Breitenfurter Straße;B;13;Breitenfurt;LkwÄ;222;275;280;280;258;130;91;311;Do,14.03.
2024;MÄRZ;1181;Breitenfurter Straße;B;13;Gesamt;Kfz;12806;13810;13388;13720;14363;11602;9796;15030;Fr,22.03.
2024;MÄRZ;1181;Breitenfurter Straße;B;13;Gesamt;LkwÄ;458;568;567;581;539;274;182;645;Do,14.03.
2024;MÄRZ;1182;Simmeringer Hptstr.;B;225;Zentrum;Kfz;8267;9023;8882;8926;9370;7646;5715;9494;Fr,15.03.
2024;MÄRZ;1182;Simmeringer Hptstr.;B;225;Zentrum;LkwÄ;544;715;695;751;644;229;139;805;Do,14.03.
2024;MÄRZ;1182;Simmeringer Hptstr.;B;225;Schwechat;Kfz;9429;10284;10075;10105;10882;8744;6520;11100;*Fr,22.03.
2024;MÄRZ;1182;Simmeringer Hptstr.;B;225;Schwechat;LkwÄ;587;773;778;804;695;234;161;873;Do,14.03.
2024;MÄRZ;1182;Simmeringer Hptstr.;B;225;Gesamt;Kfz;17696;19307;18958;19030;20252;16390;12235;20437;*Fr,22.03.
2024;MÄRZ;1182;Simmeringer Hptstr.;B;225;Gesamt;LkwÄ;1131;1488;1473;1555;1339;464;299;1678;Do,14.03.
2024;MÄRZ;1184;Himberger Straße;G;0;Zentrum;Kfz;5172;5813;5660;5825;5908;4305;3347;6115;Fr,15.03.
2024;MÄRZ;1184;Himberger Straße;G;0;Zentrum;LkwÄ;214;296;276;316;264;67;18;345;Mi,06.03.
2024;MÄRZ;1184;Himberger Straße;G;0;Leopoldsdorf;Kfz;5018;5627;5392;5651;5756;4163;3317;6090;Fr,15.03.
2024;MÄRZ;1184;Himberger Straße;G;0;Leopoldsdorf;LkwÄ;176;242;223;256;222;56;17;300;*Mi,27.03.
2024;MÄRZ;1184;Himberger Straße;G;0;Gesamt;Kfz;10190;11440;11053;11476;11664;8468;6664;12205;Fr,15.03.
2024;MÄRZ;1184;Himberger Straße;G;0;Gesamt;LkwÄ;390;537;499;572;486;123;36;638;*Mi,27.03.
2024;MÄRZ;1187;Triester Straße;B;17;Zentrum;Kfz;9261;10153;9962;10018;10630;9591;5185;10724;Fr,01.03.
2024;MÄRZ;1187;Triester Straße;B;17;Zentrum;LkwÄ;367;494;522;519;412;133;68;563;Do,14.03.
2024;MÄRZ;1187;Triester Straße;B;17;Wr. Neudorf;Kfz;8322;9298;9172;9261;9486;7820;4725;9698;Do,28.03.
2024;MÄRZ;1187;Triester Straße;B;17;Wr. Neudorf;LkwÄ;335;453;454;481;387;115;56;521;Mi,13.03.
2024;MÄRZ;1187;Triester Straße;B;17;Gesamt;Kfz;17583;19451;19133;19279;20116;17411;9910;20262;Fr,08.03.
2024;MÄRZ;1187;Triester Straße;B;17;Gesamt;LkwÄ;702;947;976;1000;798;248;124;1066;Mi,13.03.
2024;MÄRZ;1188;Altmannsdorfer Straße;B;224;Zentrum;Kfz;9171;10275;10137;10227;10500;8845;4860;10720;Mi,20.03.
2024;MÄRZ;1188;Altmannsdorfer Straße;B;224;Zentrum;LkwÄ;379;505;518;535;424;144;83;590;Do,21.03.
2024;MÄRZ;1188;Altmannsdorfer Straße;B;224;Vösendorf;Kfz;9120;10164;9916;10035;10672;8884;4972;10878;Fr,01.03.
2024;MÄRZ;1188;Altmannsdorfer Straße;B;224;Vösendorf;LkwÄ;402;533;562;547;477;160;92;595;Di,19.03.
2024;MÄRZ;1188;Altmannsdorfer Straße;B;224;Gesamt;Kfz;18291;20438;20053;20262;21172;17729;9832;21517;Fr,01.03.
2024;MÄRZ;1188;Altmannsdorfer Straße;B;224;Gesamt;LkwÄ;781;1038;1080;1081;901;304;175;1185;Do,21.03.
2024;MÄRZ;1189;Shuttleworthstraße;B;229;Zentrum;Kfz;9940;10849;10628;10811;11117;9266;6795;11274;Fr,22.03.
2024;MÄRZ;1189;Shuttleworthstraße;B;229;Zentrum;LkwÄ;448;602;634;628;514;160;88;694;Di,19.03.
2024;MÄRZ;1189;Shuttleworthstraße;B;229;Leopoldau;Kfz;9632;10689;10643;10707;10684;8514;6311;10960;Mi,20.03.
2024;MÄRZ;1189;Shuttleworthstraße;B;229;Leopoldau;LkwÄ;442;598;648;624;498;152;74;677;Mi,20.03.
2024;MÄRZ;1189;Shuttleworthstraße;B;229;Gesamt;Kfz;19572;21539;21271;21518;21802;17780;13107;22118;Fr,22.03.
