IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z05AS;211.0;447.0;4434.0;2.0;9.0;2.0;538.0;7.000000000000001;44.45;-0.05;;Bègles Quai Wilson;Sens Sortant;;
Z05BE;747.0;547.0;8069.0;;;;801.0;;38.1333;;;Bordeaux Quai Souys (près rue Bergès);Sens Entrant;;
Z05BS;473.0;939.0;8942.0;;;;850.0;;32.4;;;Bordeaux Quai Souys (près rue Bergès);Sens Sortant;;
Z06AS;447.0;571.0;7100.0;-11.0;-6.0;-7.000000000000001;213.0;1.0;40.4;-0.04;;Mérignac 44 av. de Mérignac;Sens Sortant;;
Z7CS;232.0;775.0;5924.0;;;;340.0;;;;;;Sens Sortant;;
Z09AE;476.0;430.0;6672.0;-3.0;-2.0;0.0;324.0;1.0;39.15;-0.04;;Mérignac VDO;Sens Entrant;;
Z09AS;427.0;524.0;6943.0;-3.0;-1.0;3.0;349.0;10.0;33.72;0.05;;Mérignac VDO;Sens Sortant;;
Z10BE;485.0;599.0;6472.0;8.0;10.0;8.0;480.0;27.0;33.8;-0.05;;Bordeaux rue Bethmann Bx II;Sens Entrant;;
Z12AS;216.0;313.0;3971.0;-16.0;-16.0;-1.0;195.0;-1.0;27.85;-0.06;;Bègles 99 cours Victor Hugo;Sens Sortant;;
Z14BE;260.0;467.0;5836.0;-6.0;-4.0;1.0;579.0;8.0;;;;Bordeaux Bld A.Daney Latule R.Maran;Sens Entrant;;
Z14BS;335.0;392.0;6143.0;12.0;11.0;14.000000000000002;755.0;25.0;;;;Bordeaux Bld A.Daney Latule  R.Maran;Sens Sortant;;
Z16AE;491.0;541.0;6086.0;11.0;0.0;-4.0;307.0;2.0;40.8;-0.01;;Pessac 190 av. Jean Jaurès;Sens Entrant;;
Z16AS;526.0;476.0;6020.0;5.0;6.0;-3.0;276.0;4.0;41.04;0.0;;Pessac 190 av. Jean Jaurès;Sens Sortant;;
Z16BE;408.0;647.0;6239.0;-8.0;-2.0;0.0;362.0;1.0;31.88;-0.07;;Pessac 9 avenue de Madran;Sens Entrant;;
Z16CE;546.0;799.0;8389.0;-6.0;-5.0;0.0;406.0;2.0;20.5143;-0.07;;Pessac av. de Canejan niveau rocade;Sens Entrant;;
Z16DE;651.0;949.0;10125.0;-9.0;-2.0;-5.0;425.0;-6.0;29.85;-0.01;;Pessac 98 avenue de Saige;Sens Entrant;;
Z17AE;358.0;340.0;5026.0;3.0;-6.0;1.0;278.0;-3.0;29.0313;-0.01;;Talence Libération Roul Peixotto;Sens Entrant;;
Z17BS;995.0;986.0;14220.0;-1.0;-1.0;4.0;667.0;10.0;27.9583;0.01;;Talence Liberation Peyberland Rabelais;Sens Sortant;;
Z17CE;738.0;406.0;4892.0;-5.0;0.0;-4.0;125.0;0.0;39.5;0.04;;Gradignan 14 rue Naudet;Sens Entrant;;
Z17CS;305.0;768.0;5014.0;-4.0;-5.0;-3.0;140.0;5.0;40.6818;-0.06;;Gradignan 14 rue Naudet;Sens Sortant;;
Z17DE;516.0;388.0;3942.0;7.000000000000001;6.0;3.0;130.0;2.0;44.4103;0.0;;Talence av de Thouars (face au chateau);Sens Entrant;;
Z19AE;519.0;466.0;6769.0;6.0;1.0;3.0;383.0;0.0;35.5429;-0.06;;Villenave d'Ornon 335 rte Toulouse;Sens Entrant;;
Z19AS;585.0;636.0;7731.0;12.0;14.000000000000002;11.0;518.0;10.0;35.7;-0.06;;Villenave d'Ornon 335 rte Toulouse;Sens Sortant;;
Z19BE;639.0;671.0;9356.0;-1.0;1.0;0.0;667.0;2.0;18.1;0.22;;Villenave d'Ornon 509 rte Toulouse;Sens Entrant;;
Z21BS;518.0;628.0;6907.0;-10.0;-8.0;-3.0;153.0;-2.0;30.92;-0.04;;Le Bouscat 168 avenue d'Eysines;Sens Sortant;;
Z22AE;708.0;563.0;7287.0;-1.0;-3.0;-1.0;534.0;4.0;49.475;-0.02;;Lormont 34 quai Elisabeth Dupeyron;Sens Entrant;;
Z22BS;445.0;526.0;5602.0;25.0;1.0;3.0;309.0;6.0;34.3333;-0.05;;Lormont 36 avenue de Paris;Sens Sortant;;
Z22DE;655.0;814.0;9197.0;-8.0;2.0;1.0;292.0;-5.0;49.8571;0.01;;Lormont av. de la Résistance;Sens Entrant;;
Z23DE;201.0;310.0;3276.0;6.0;4.0;8.0;216.0;6.0;48.85;0.01;;Bruges rue de Fieuzal (face au lac);Sens Entrant;;
Z23EE;1157.0;1014.0;13634.0;;;;625.0;;59.6;;;0;0;;
