IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z07BS;535;680;8186;-9.3;17.9;7.4;106;-40.5;32;-16.2;;Mérignac 20 Av. du Chut;Sens Sortant;;
Z17ES;39;46;514;-7.9;14.2;8.1;;;30;3.4;;Talence 42 Rue Lamartine;Sens Sortant;;
Z13CT3;853;804;13684;-3.8;-2.8;29.8;;;;;;Bordeaux Blvd Wilson après Eysines;Nord > Sud;;
Z14CT8;1532;1906;24174;-5.0;-3.9;-7.0;;;;;;Bordeaux Blvd A d'Aquitaine après Latule;Sens Sortant;;
Z18CT4;324;275;3562;25.6;31.2;31.4;;;;;;Gradignan Gal de Gaulle avant place;Sens Entrant;;
Z18CT5;297;504;5684;-10.4;27.9;32.8;;;;;;Gradignan Gal de Gaulle avant platanes;Sens Entrant;;
Z20CT4;447;528;5357;-20.5;-6.8;-16.2;;;;;;Bordeaux Av. Tassigny  avant Bleuets;Sens Entrant;;
Z25CT24;71;130;1042;-11.3;-14.8;-5.9;;;;;;Bordeaux Brunet avant Brandenburg;Sens Entrant;;
Z25CT5;472;255;2931;26.6;15.5;7.5;;;;;;Bordeaux Cours Bricaud après Vergne;Sens Sortant;;
Z28CT8;508;497;6620;-15.6;-9.4;-11.6;;;;;;St Médard Av. Descartes après Gauthier;Sens Entrant;;
Z4CT5;53;55;978;43.4;-2.1;4.2;;;;;;Bordeaux Cours de Tournon après la Rue Boudet;Place des Quinconces > place Tourny;;
Z6CT17;130;277;2754;14.9;5.3;7.9;;;;;;Bordeaux Rue Nauville avant Judaïque;Sud > Nord;;
Z24CT6;616;626;6610;-0.1;-0.9;-8.3;;;;;;Eysines Av. de St Médard;Sens Entrant;;
Z2CT14;54;85;944;-11.7;-20.9;-6.3;;;;;;Bordeaux Cours mal Joffre vers Burguet;Nord > Sud;;
Z2CT5;73;128;1378;-12.4;-9.3;-16.3;;;;;;Bordeaux Juin après Belfort;Sens Entrant;;
Z10BS;389;455;5340;-4.9;-17.1;-11.0;228;-5.0;32;1.3;;Bordeaux Rue Bethmann Bx II;Sens Sortant;;
Z12AE;210;284;3410;-16.2;-11.7;-11.7;165;-6.5;29;3.9;;Bègles 99 cours Victor Hugo;Sens Entrant;;
Z16AE;336;479;5252;-9.8;-1.7;-5.6;651;;41;0.6;;Pessac 190 Av. Jean Jaurès;Sens Entrant;;
Z16AS;402;412;5260;-4.2;-1.0;-3.0;213;-7.3;40;-0.8;;Pessac 190 Av. Jean Jaurès;Sens Sortant;;
Z16BS;482;474;6202;-0.5;-2.7;-2.4;346;-0.8;49;2.1;;Pessac 9 Av. de Madran;Sens Sortant;;
Z17AS;303;459;5788;;;;493;;17;;;Talence Libération Roul Peixotto;Sens Sortant;;
Z17DS;206;517;4038;12.2;-12.7;-10.8;164;-7.3;46;1.9;;Talence av de Thouars (face au château);Sens Sortant;;
Z17EE;102;202;1785;18.5;0.8;3.6;37;-1.0;32;2.9;;Talence 42 Rue Lamartine;Sens Entrant;;
Z21CE;244;255;3374;-4.8;-11.9;1.4;55;-1.4;33;7.1;;Le Bouscat 58 Av. de Tivoli;Sens Entrant;;
Z22BE;283;472;5838;-20.9;-4.6;-6.8;286;-12.4;33;-3.0;;Lormont 36 Av. de Paris;Sens Entrant;;
Z22BS;240;500;5223;-15.7;-0.6;4.0;307;4.7;36;-1.1;;Lormont 36 Av. de Paris;Sens Sortant;;
Z22CS;728;1002;15001;-11.9;7.3;-6.7;629;-6.3;42;8.1;;Lormont Av. Kennedy Amitié;Sens Sortant;;
Z26AS;371;617;6937;-2.5;-5.1;-8.2;370;-10.7;43;3.5;;Bègles rte de Courréjean;Sens Sortant;;
Z28AE;0;568;8135;;-3.4;-2.2;526;1.8;;;;Saint-Médard-en-Jalles Av. de Capeyron;Sens Entrant;;
Z29BE;1669;1445;18612;-13.9;-11.0;-9.9;578;-15.4;51;5.9;;Bordeaux Blvd Joliot Curie après Benauge;Sens Entrant;;
Z10CT1;568;570;8708;-14.5;-8.8;-10.9;;;;;;Bordeaux Blvd Leclerc après Thomas;Boulevards Nord > Sud;;
Z11CT1;238;345;3837;-2.1;-2.8;-3.0;;;;;;Talence Cours Gambetta avant Lamartine;Sens Entrant;;
Z11CT10;1098;1250;15384;-6.7;-4.5;-6.1;;;;;;Bordeaux Blvd Roosevelt après Rue Hoche;Nord > Sud;;
Z11CT8;233;267;3104;-11.3;-5.8;-6.4;;;;;;Talence Cours Gambetta avant Combes;Sens Sortant;;
Z11CT9;725;855;11840;-5.4;1.7;-5.2;;;;;;Talence Boulevard George V;Sud > Nord;;
Z12CT11;503;610;7848;-2.6;4.8;-2.4;;;;;;Bordeaux 149 Blvd Albert 1er;Nord > Sud;;
Z12CT12;791;689;11224;-5.0;-13.9;-9.6;;;;;;Bordeaux Blvd Albert 1er après Daguin;Sud > Nord;;
Z12CT3;350;389;5544;6.0;-3.4;-9.2;;;;;;Bordeaux Cours de la Somme après Rue Brun;Sens Sortant;;
Z12CT4;696;734;9868;-5.7;-3.7;11.0;;;;;;Bordeaux Rte Toulouse après Suzon;Sens Sortant;;
Z13CT1;511;572;9962;2.3;7.1;1.1;;;;;;Bordeaux Blvd Pierre 1er avant Hugo;Nord > Sud;;
Z13CT10;493;460;6907;-2.4;-5.0;-4.9;;;;;;Bordeaux Rue Carnot sens entrant;Sens Entrant;;
Z13CT2;801;944;16391;-7.9;6.2;7.7;;;;;;Bordeaux Blvd Pierre 1er après Tivoli;Nord > Sud;;
Z13CT7;270;319;3632;-13.3;-13.8;-9.5;;;;;;Bordeaux Cours de la Libération;Sens Sortant;;
Z13CT9;398;349;4931;-9.1;-3.5;-4.9;;;;;;Bordeaux Rue Johnston avant Arsenal;Sens Entrant;;
Z14CT1;955;753;13406;6.7;9.6;5.1;;;;;;Bordeaux Blvd Godard avant Trébod;Sud > Nord;;
Z14CT10;988;1005;14181;;;;;;;;;Bordeaux Blvd A. Daney avant Ravesies;Nord > Sud;;
Z14CT11;642;714;11872;10.2;14.4;7.0;;;;;;Bordeaux Blvd Godard avant Ampère;Nord > Sud;;
Z14CT21;271;295;5061;-11.5;-8.1;-9.0;;;;;;Bordeaux Boulevard Alfred Daney;Sens Sortant;;
Z14CT23;494;535;7088;-1.9;-0.8;-0.7;;;;;;Bordeaux Brazza avant le pont;Sud > Nord;;
Z14CT24;893;695;10593;-0.8;-2.3;-4.3;;;;;;Bordeaux Brazza avant le pont;Nord > Sud;;
Z14CT5;519;549;7046;16.5;3.5;0.8;;;;;;Bordeaux Allée de Boutaut;Sens Sortant;;
Z14CT7;1271;1401;22929;-6.6;5.0;-5.3;;;;;;Bordeaux Blvd Daney avant Latule;Sud > Nord;;
Z15CT11;156;206;2220;6.2;-17.5;7.0;;;;;;Bordeaux Av. E. Counord après giratoire;Sens Sortant;;
Z15CT13;56;81;1100;-4.4;-4.6;-4.1;;;;;;Bordeaux Av. E. Counord après Godard;Sens Sortant;;
Z15CT14;194;196;2881;2.8;1.2;-0.8;;;;;;Bordeaux Martinique vers quais;Centre Ville Sortant;;
Z15CT2;260;363;4593;-12.9;-6.9;-9.0;;;;;;Bordeaux Cours Portal après Doumer;Sens Sortant;;
Z15CT4;421;375;6438;0.3;-5.1;-2.6;;;;;;Bordeaux Cours de Verdun après Doumer;Nord > Sud;;
Z15CT9;203;219;2862;-22.7;-19.6;-18.4;;;;;;Bordeaux Rue Godard après Lagrange;de Lagrange  > Counord;;
Z16CT1;537;482;5803;-4.6;-5.4;-8.5;;;;;;Pessac Av. Jean Jaurès;Sens Sortant;;
Z16CT12;164;245;2400;-1.9;-2.9;-2.0;;;;;;Pessac Av. Bougnard;Sens Entrant;;
Z16CT13;263;284;3081;-6.7;-4.9;-6.5;;;;;;Pessac Rue Cohé Centre après Pénard;Nord > Sud;;
Z16CT5;430;498;5311;-8.2;-8.5;-7.1;;;;;;Pessac Av. Pasteur après Aciéries;Sens Entrant;;
Z17CT4;1636;1307;18751;-18.1;-15.9;-18.2;;;;;;Gradignan Cours de Gaulle;Sens Entrant;;
Z17CT6;413;586;7492;10.4;3.2;8.0;;;;;;Talence 455 Cours de la Libération;Sens Entrant;;
Z05BE;601;553;7944;-10.0;-10.0;-10.0;818;-10.0;46;0.0;;Bordeaux Quai Souys (près Rue Bergès);Sens Entrant;;
Z18CT13;217;427;4312;-14.1;6.0;-1.5;;;;;;Gradignan Lahouneau avant de Gaulle;Nord > Sud;;
Z05BS;419;834;8186;-8.9;-10.5;-8.6;857;-7.8;45;7.7;;Bordeaux Quai  Souys (près Rue Bergès);Sens Sortant;;
Z19CT1;634;729;9212;-4.3;0.8;-4.4;;;;;;Bègles Rte de Toulouse aprés Sévène;Sens Sortant;;
Z26BE;172;183;2432;-6.0;-18.1;-14.0;73;-17.6;31;-0.8;;Bègles 98 Rue Alexis Capelle;Sens Entrant;;
Z19CT10;267;259;3381;13.3;15.7;15.6;;;;;;Villenave d'Ornon Labro vers Bègles;Sens Entrant;;
Z18CT1;340;466;5371;41.6;-5.3;-6.4;;;;;;Gradignan Gal de Gaulle avant platanes;Sens Sortant;;
Z19CT2;397;377;5591;2.0;-1.8;-1.4;;;;;;Villenave d'Ornon 246 Rte de Toulouse;Sens Entrant;;
Z19CT12;233;59;1028;-12.3;-20.9;-9.5;;;;;;Villenave d'Ornon Leclerc avant Gaston;Sens Entrant;;
Z19CT4;368;273;3955;-9.7;-11.5;-7.1;;;;;;Villenave d'Ornon Rue Labro;Sens Sortant;;
Z25CT18;238;427;3291;-6.1;-16.8;-8.7;;;;;;Bordeaux Domergue S>N avant rocade;Sud > Nord;;
Z19CT6;569;408;6322;-1.2;2.4;-1.4;;;;;;Villenave d'Ornon Av. Georges Clémenceau;Sens Entrant;;
Z26CT3;324;253;4527;10.7;23.4;17.1;;;;;;Bordeaux Armagnac avant Rue Beck;Sens Sortant;;
Z19CT7;301;554;6733;3.6;7.1;1.7;;;;;;Villenave d'Ornon Av des Pyrénées;Sens Entrant;;
Z29CT15;542;435;5741;-18.5;-18.5;-22.7;;;;;;Cenon Av. Clémenceau avant 8 mai 45;Sens Sortant;;
Z1CT1;745;723;10645;-7.0;-8.2;-7.9;;;;;;Bordeaux 17 Quai Louis XVIII Ferrère;Nord > Sud;;
Z31CT1;568;1179;12845;37.6;-3.2;-1.1;;;;;;Bassens Rd p Ricard > côte de la Garonne;Sud > Nord;;
Z1CT11;657;659;9408;-10.7;7.9;-5.6;;;;;;Bordeaux Quai Chartrons après  Latour;Sud > Nord;;
Z07BE;468;456;5486;23.8;-1.9;-10.1;70;-11.4;30;3.4;;Mérignac 20 Av. du Chut;Sens Entrant;;
Z1CT14;554;529;7886;-4.4;-4.9;-5.7;;;;;;Bordeaux Quai Chartrons apres Hangar 14;Nord > Sud;;
Z28CT1;189;583;6468;-13.0;-11.6;-11.4;;;;;;St Medard Av. Descartes avant T. Gautier;Sens Sortant;;
Z1CT16;739;700;9726;-9.2;2.1;-5.0;;;;;;Bordeaux Quai Chartrons après  Arnozan;Sud > Nord;;
Z10AE;312;415;4607;-5.1;-8.9;-7.2;86;-8.7;43;1.8;;Talence Rue Vieille Tour Médoquine;Sens Entrant;;
