IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z29DE;748;567;8802;-15.9;-18.7;-5.2;346;5.7;30;2.1;;Cenon Av. Jean Zay / bretelle rocade;Sens Entrant;;
Z29DS;368;727;7404;-15.5;-13.7;-14.1;307;-4.5;33;8.7;;Cenon Av. Jean Zay / bretelle rocade;Sens Sortant;;
Z30DSN;362;460;6287;-26.0;-3.4;0.4;190;11.6;41;12.7;;Mérignac 66 Av.Pierre Mendès France;Sens Pessac vers Mérignac;;
Z30FNS;428;558;6678;-6.6;-22.4;-7.9;633;2.2;58;-1.9;;Mérignac Roland GARROS;Nord > Sud;;
Z30FSN;589;541;7247;-33.9;-6.6;-6.3;696;11.5;52;-3.4;;Mérignac Roland GARROS;Sud > Nord;;
Z30GE;880;898;12146;17.4;24.6;7.9;1200;8.4;62;-1.0;;Mérignac Av. François Mitterrand;Sens Entrant;;
Z32AE;567;630;7449;-1.5;11.2;11.3;412;4.3;46;-1.7;;Floirac 35 Av. Gaston Cabannes;Sens Entrant;;
Z35AE;1044;821;11821;;7.2;13.1;570;33.2;46;5.1;;Ambares Av. de la Libération;Sens Entrant;;
Z10CT12;478;334;5636;-2.2;-13.1;-2.7;;;;;;Bordeaux Rue Saignat avant Pl Campeyrau;Sens Sortant;;
Z10CT14;556;450;7619;-18.7;-28.1;-20.7;;;;;;Bordeaux Rue Saignat après Pl Campeyrau;Sens Entrant;;
Z10CT15;392;406;5454;10.0;-0.7;8.9;;;;;;Talence Cours Galliéni après XIV Juillet;Sens Entrant;;
Z10CT18;914;768;12010;-5.2;-3.9;-1.6;;;;;;Bordeaux Béchade après Quintin;Sens Entrant;;
Z10CT21;602;647;10162;-2.3;-0.1;2.1;;;;;;Bordeaux Tauzin après Haut Brion;Sens Entrant;;
Z10CT7;642;567;7614;-1.9;2.4;8.1;;;;;;Talence 35 Cours Galliéni;Sens Sortant;;
Z11CT12;899;814;12323;-18.1;-17.5;-9.5;;;;;;Bordeaux Blvd Roosevelt avant Jaurès;Sud > Nord;;
Z11CT16;466;415;5092;19.9;9.9;11.6;;;;;;Talence Cours Gambetta après Roustaing;Sens Sortant;;
Z11CT7;439;415;5263;17.5;12.4;16.1;;;;;;Bordeaux Rue St Genès après Ségur;Sens Sortant;;
Z11CT8;263;283;3317;21.2;6.7;10.9;;;;;;Talence Cours Gambetta avant Combes;Sens Sortant;;
Z12CT1;387;401;6245;-3.2;-11.5;7.3;;;;;;Bordeaux Cours de la Somme après Monsarrat;Sens Sortant;;
Z12CT10;658;746;9920;-3.5;-7.5;-3.7;;;;;;Bordeaux Blvd Albert 1er après Cabié;Nord > Sud;;
Z12CT16;426;338;4168;8.9;16.7;8.9;;;;;;Bordeaux Rue de Bègles après Vaucouleur;Sens Entrant;;
Z12CT4;738;762;8891;-4.7;-7.7;-17.7;;;;;;Bordeaux Rte Toulouse après Suzon;Sens Sortant;;
Z12CT7;648;616;8936;2.7;-0.1;1.6;;;;;;Bordeaux Cours de la Somme après Brun;Sens Entrant;;
Z12CT9;635;607;8913;-5.9;-18.6;-10.3;;;;;;Bordeaux Blvd Roosevelt avant Toulouse;Nord > Sud;;
Z13CT10;505;484;7264;-3.0;8.0;22.5;;;;;;Bordeaux Rue Carnot sens entrant;Sens Entrant;;
Z13CT15;437;484;5225;55.5;50.5;40.9;;;;;;Bordeaux Rue de Tivoli;Sens Sortant;;
Z13CT20;340;427;5515;1.3;-2.1;7.8;;;;;;Bordeaux Av. d'Eysines avant F. Faure;Sens Sortant;;
Z13CT3;887;827;10541;-19.9;-22.1;-35.8;;;;;;Bordeaux Blvd Wilson après Eysines;Nord > Sud;;
Z13CT4;937;822;15263;-17.5;-25.7;-13.0;;;;;;Bordeaux Blvd Wilson après Colmar;Sud > Nord;;
Z13CT5;1577;1400;27392;14.7;-0.3;25.5;;;;;;Bordeaux Blvd Wilson après Carnot;Sud > Nord;;
Z14CT17;855;793;10813;4.0;-0.7;3.3;;;;;;Bordeaux Rue L. Faure;Sens Sortant;;
Z14CT18;256;217;3287;-17.1;-18.9;-8.1;;;;;;Bordeaux Quai de Bacalan après L. Faure;Sud > Nord;;
Z14CT21;306;321;5564;-22.0;-29.1;-17.0;;;;;;Bordeaux Boulevard Alfred Daney;Sens Sortant;;
Z14CT23;503;540;7135;-5.5;-5.8;2.8;;;;;;Bordeaux Brazza avant le pont;Sud > Nord;;
Z14CT24;900;712;11064;4.9;3.6;9.5;;;;;;Bordeaux Brazza avant le pont;Nord > Sud;;
Z14CT7;1361;1334;24201;;;;;;;;;Bordeaux Blvd Daney avant Latule;Sud > Nord;;
Z14CT8;1613;1983;25990;-13.7;-19.5;-4.6;;;;;;Bordeaux Blvd A d'Aquitaine après Latule;Sens Sortant;;
Z15CT3;475;455;7517;1.2;-2.3;5.6;;;;;;Bordeaux Cours Portal avant Doumer;Nord > Sud;;
