,Vienna,Brno,Copenhagen,Helsinki,Paris,Grenoble,Toulouse,Lyon,Lille,Bordeaux,Rennes,Marseille,Rouen,Montpellier,Tours,Berlin,Hamburg,Dublin,Milan,Luxembourg,Amsterdam,Oslo,Lisbon,Valencia,Barcelona,Madrid,Malmo,Stockholm,Zurich,Geneva,London,Birmingham,Manchester,Glasgow,Edinburgh,Cardiff
living_street,0.0,0.3262642740619902,0.0,0.0,0.1251564455569462,0.47393364928909953,0.13351134846461948,0.2808988764044944,0.3058103975535168,0.0,0.7861635220125787,18.34862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21344717182497333,0.0,0.0,0.0,0.0,0.5016722408026756,0.9433962264150944,0.13717421124828533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorway,0.0,4.848484848484849,8.695652173913043,2.6578073089700998,11.320754716981131,2.857142857142857,0.0,10.050251256281408,0.0,0.0,0.0,61.170212765957444,0.0,0.0,3.5175879396984926,0.3831417624521073,0.0,2.459016393442623,,1.3317191283292977,0.42780748663101603,6.007751937984496,0.0,2.7777777777777777,,9.627879503839338,2.0833333333333335,1.9867549668874172,1.492537313432836,5.0675675675675675,2.606310013717421,7.534246575342466,8.653846153846153,10.778443113772456,8.75,9.30232558139535
motorway_link,0.0,0.6993006993006993,0.0,0.0,9.836065573770492,4.615384615384615,0.0,10.022779043280183,0.547945205479452,0.9868421052631579,0.0,54.54545454545455,0.7407407407407407,0.0,2.4930747922437675,0.0,0.29455081001472755,0.45662100456621,,0.0,0.5568814638027049,6.0606060606060606,0.0,0.0,,9.45520036019811,0.9433962264150944,3.9705882352941178,3.0303030303030303,10.06711409395973,0.7334963325183375,3.8095238095238093,1.0695187165775402,6.539509536784741,3.278688524590164,0.0
primary,1.0631443298969072,10.699588477366255,2.1881838074398248,0.5891016200294551,19.292035398230087,10.69767441860465,0.8666941807676434,13.18285901210337,0.8458035133376708,7.44138634046891,3.123373243102551,59.47712418300654,1.4228799089356858,3.3983286908077996,2.3255813953488373,1.8579234972677596,1.559275395551479,,,2.2158684774839172,15.443037974683545,2.484337869950313,0.5284015852047557,1.2924071082390953,2.127659574468085,20.582261340555178,0.0,4.970760233918129,6.199460916442049,3.0181086519114686,4.299595141700405,2.571230020847811,3.097696584590945,6.148055207026349,3.7588652482269502,4.4673539518900345
primary_link,0.0,0.0,0.0,0.6172839506172839,0.3472222222222222,11.764705882352942,0.0,5.208333333333333,1.0582010582010581,4.838709677419355,0.0,56.52173913043478,0.0,1.0204081632653061,1.2875536480686696,0.0,0.0,,,0.704225352112676,13.178294573643411,0.0,0.0,1.7094017094017093,0.0,8.658008658008658,14.285714285714286,6.508875739644971,0.0,3.5294117647058822,1.2578616352201257,0.0,0.0,0.546448087431694,0.970873786407767,1.5384615384615385
residential,0.03337783711615487,2.1193855726229827,0.7392126525700533,0.029539188656951557,0.39046010975094975,0.3424657534246575,0.9016298693792625,0.41861610440778135,0.38008361839604715,0.21387390738329923,0.440973817179605,12.872015984856452,0.4339622641509434,0.5229031583350764,0.10071056901471494,0.0041245617653124355,0.011114816049794377,0.4568349537308188,0.9650180940892642,0.008519338899301414,2.9292543021032507,0.017202081451855675,0.0,0.05917159763313609,0.0,5.218631178707224,2.3833167825223436,0.7819937440500476,0.11528706479133041,0.12795905310300704,0.15701216320890993,0.1618384851917786,0.13728323699421965,0.057213693143892436,0.1096357656230966,0.11171104077452988
secondary,0.5537744097930632,11.377245508982035,3.676470588235294,0.25569997869166844,13.009404388714733,9.237875288683602,0.9648887697668186,10.34013605442177,1.4607425441265978,5.244050020169423,2.2182254196642686,60.120240480961925,2.460538532961931,2.691867124856816,1.1269276393831553,1.064041368337311,1.437607820586544,9.852620087336245,0.0,0.9102494083378846,20.138518913159295,1.7755133549482784,0.0,0.8281573498964804,0.9237875288683602,17.900172117039588,4.067796610169491,4.738071404738071,4.602510460251046,3.0039811798769454,0.4522246535375638,0.7769145394006659,0.48154093097913325,0.15174506828528073,0.0,1.1070110701107012
secondary_link,0.0,1.075268817204301,0.0,0.0,1.2820512820512822,0.0,0.0,1.1627906976744187,0.0,4.040404040404041,0.0,47.5,0.0,0.0,0.0,0.0,0.0,1.5789473684210527,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,10.416666666666666,0.0,0.7326007326007326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service,0.01516606844952227,0.0,0.03745318352059925,0.0,0.0,0.0,0.0,0.025443674066535207,0.0,0.013613468257929846,0.046248715313463515,0.0,0.00608976310821509,0.006485504896556197,0.0,0.0038248718667924625,0.004930399197988397,0.08578265384441736,0.0,0.011959576630987264,0.0,0.0045390998057265285,0.0,0.0,0.0,0.0,0.01834862385321101,0.0,0.02916869227029655,0.030262180527662386,0.040967591483783136,0.017522340984755563,0.008535336292249915,0.057950018109380656,0.03615067601764153,0.022698899103393486
tertiary,0.2728512960436562,15.25,2.9893014474512274,0.09744214372716199,4.577822990844354,3.0018761726078798,1.563393708293613,6.712734452122409,1.4181007010834927,2.0752269779507135,2.6180698151950716,56.17977528089887,1.8023430459597476,1.3048635824436536,0.26843741169821983,0.15192437542201215,0.4665350798492733,5.502717391304348,1.9736842105263157,0.08012820512820513,21.242045205178847,0.14723203769140164,0.0,0.15748031496062992,0.6944444444444444,16.849286747984287,5.655296229802514,3.788214443952149,3.204353083434099,1.0393700787401574,0.578611332801277,0.6839555428897122,0.9643916913946587,0.5020080321285141,0.3248862897985705,0.7391763463569165
trunk,0.0,6.875,0.0,0.9140767824497258,30.96590909090909,5.555555555555555,0.5681818181818182,16.511627906976745,0.2881844380403458,0.0,1.3953488372093024,54.794520547945204,0.6493506493506493,1.408450704225352,7.526881720430108,0.0,1.3937282229965158,0.0,,3.4188034188034186,12.820512820512821,4.067796610169491,0.8403361344537815,2.4390243902439024,,3.35195530726257,2.5641025641025643,5.384615384615385,25.0,0.0,4.97870326549929,2.8384279475982535,4.201680672268908,4.3478260869565215,8.064516129032258,2.7210884353741496
trunk_link,0.0,3.8147138964577656,,0.0,3.341902313624679,12.5,0.0,10.331125827814569,0.0,0.0,0.5050505050505051,54.44444444444444,0.0,0.0,0.0,0.0,0.0,2.5,,1.36986301369863,12.658227848101266,4.6706586826347305,0.0,0.0,,0.6097560975609756,0.0,2.0689655172413794,0.0,0.0,1.2304250559284116,0.23529411764705882,0.3546099290780142,,0.0,1.0526315789473684
unclassified,0.0,1.36986301369863,1.0344827586206897,0.04803073967339097,1.3769363166953528,1.0920436817472698,0.8280015054572827,0.4763368162261832,0.6693440428380187,0.07158196134574088,0.5992124636192433,13.850746268656716,0.6464305789769533,0.25429116338207247,0.007316894709885125,0.0,0.06818956699624958,1.7595307917888563,2.696629213483146,0.15067805123053743,3.772175536881419,0.036205648081100654,0.0,0.0,,1.2903225806451613,4.040404040404041,1.5595162316995543,0.0,0.20953378732320588,0.21654395842355997,0.31824611032531824,0.2528445006321112,0.16863406408094436,0.20512820512820512,0.0
tertiary_link,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,
busway,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
escape,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pedestrian,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
