country,city_name,lat,lon,data_presence,treated_data,years,source_start_year,source_frequency,national_source,techno,nb_sensors,AADT,AAWT,observations,direction,license,daily_capture_rate,hourly_capture_rate
Portugal,Lisbon,38.71806254519334,-9.137848275290107,True,True,2021-2024,2021,hourly,False,,14,True,False,custom geometries,Lines-Oneway,Creative Commons Attribution 4.0 International (CC BY 4.0),83.3,33.2
Romania,Bucharest,44.42333130699686,26.098068299358264,False,False,,,,,,,,,,,,,
Slovakia,Bratislava,48.14216593677372,17.108362033520258,False,False,,,,,,,,,,,,,
Slovenia,Ljubljana,46.05060212133623,14.502914684670596,True,False,2023,1997,yearly,True,Automatic,76,True,False,Only on major axis near the city,Oneway,Creative Commons Attribution 4.0 International (CC BY 4.0),,
Spain,Valencia,39.46886418889253,-0.3782810097947831,True,True,2016-2022,2016,monthly,False,Inductive loop,384,False,True,,Both,Creative Commons Attribution 4.0 International (CC BY 4.0),,
Spain,Bilbao,43.2601908828659,-2.9347669573131543,True,False,,,,False,,81,,,Only real time data,,,,
Spain,Zaragoza,41.65047607430794,-0.8843702044248988,True,False,,,,False,,,,,No geographical reference,,,,
Spain,Barcelona,41.39705975025471,2.1705869148089305,True,True,2018-2024,2018,yearly,False,,9,False,True,custom geometries,Lines-Both,Creative Commons CC-BY,,
Spain,Madrid,40.43731469076019,-3.6877958431690616,True,True,2024,2013,sub hourly,False,Inductive loop - Camera,4757,True,True,,Lines-Oneway,Specific,94.4,94.3
Sweden,Malmo,55.59915622249947,13.00563401995383,True,True,2015-2024,1967,yearly,False,,200,True,False,perpendicular line geometries,Both,Creative Commons CC0 1.0 Universal,,
Sweden,Stockholm,59.32401904545032,18.071491268785653,True,True,2015-2024,1990,yearly,False,,2000,True,False,Lines but sometimes monitor both ways,Lines-Depends,No Restriction,,
Switzerland,Zurich,47.38252663572705,8.525402388042744,True,True,2024,2012,hourly,False,,205,True,True,,Oneway,Creative Commons CC0 1.0 Universal,91.9,89.7
Switzerland,Lausanne,46.5181989549484,6.630092540374055,True,False,,,,,,,,,Only regional roads,,Specific,,
Switzerland,Geneva,46.2016148046925,6.141321350821769,True,True,2017-2019,2012,yearly,False,Inductive loop - Pneumatic tube,321,True,True,,Oneway,Specific,,
United Kingdom,London,51.49305652950391,-0.0988591746669114,True,True,2015-2023,2000,yearly,True,Manual - Automatic - Model,2044,True,False,,Oneway,Open Government Licence,,
United Kingdom,Birmingham,52.480236645810905,-1.8925211955716823,True,True,2015-2023,2000,yearly,True,Manual - Automatic - Model,219,True,False,,Oneway,Open Government Licence,,
United Kingdom,Manchester,53.479477115125746,-2.243100705855477,True,True,2015-2023,2000,yearly,True,Manual - Automatic - Model,185,True,False,,Oneway,Open Government Licence,,
United Kingdom,Glasgow,55.859026308422514,-4.26385013165214,True,True,2015-2023,2000,yearly,True,Manual - Automatic - Model,204,True,False,,Oneway,Open Government Licence,,
United Kingdom,Edinburgh,55.95147193855486,-3.1893105090776035,True,True,2015-2023,2000,yearly,True,Manual - Automatic - Model,105,True,False,,Oneway,Open Government Licence,,
United Kingdom,Cardiff,51.481505880531074,-3.16556788350701,True,True,2015-2023,2000,yearly,True,Manual - Automatic - Model,77,True,False,,Oneway,Open Government Licence,,
