id;idTemporal;anyo;mes;dia;fecha;lastUpdated;zona;zonaTraficoId;zonaTraficoName;aforoMedio;aforoMaximo
"328";"2021";"2021";"";"";2021-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"8";"";"9381.421";"20858"
"329";"2021";"2021";"";"";2021-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"9";"";"10149.889";"22124"
"296";"2015";"2015";"";"";2015-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"2";"";"16830.627";"30806"
"297";"2015";"2015";"";"";2015-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"3";"";"14236.975";"27248"
"298";"2015";"2015";"";"";2015-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"4";"";"17110.846";"36129"
"299";"2015";"2015";"";"";2015-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"5";"";"7066.8237";"11881"
"300";"2015";"2015";"";"";2015-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"6";"";"7805.7188";"13332"
"301";"2015";"2015";"";"";2015-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"7";"";"11378.87";"23828"
"302";"2015";"2015";"";"";2015-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"8";"";"9485.211";"22775"
"303";"2015";"2015";"";"";2015-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"9";"";"9985.545";"22010"
"330";"2020";"2020";"";"";2020-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"1";"";"11232.182";"26777"
"331";"2020";"2020";"";"";2020-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"2";"";"15923.6045";"26777"
"332";"2020";"2020";"";"";2020-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"3";"";"13601.175";"25795"
"333";"2020";"2020";"";"";2020-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"4";"";"14852.788";"29904"
"334";"2020";"2020";"";"";2020-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"5";"";"6267.5293";"10800"
"335";"2020";"2020";"";"";2020-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"6";"";"6689.5625";"13155"
"336";"2020";"2020";"";"";2020-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"7";"";"10114.87";"22103"
"337";"2020";"2020";"";"";2020-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"8";"";"9778.158";"21321"
"338";"2020";"2020";"";"";2020-01-01T00:00:00Z;2023-06-09T00:00:00Z;"";"9";"";"10263.286";"21823"
"295";"2015";"2015";"";"";2015-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"1";"";"13330.818";"30806"
"286";"2016";"2016";"";"";2016-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"1";"";"12903.818";"31549"
"287";"2016";"2016";"";"";2016-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"2";"";"16903.139";"31549"
"288";"2016";"2016";"";"";2016-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"3";"";"14690.425";"27926"
"289";"2016";"2016";"";"";2016-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"4";"";"17607.941";"36991"
"290";"2016";"2016";"";"";2016-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"5";"";"7155.706";"11879"
"291";"2016";"2016";"";"";2016-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"6";"";"7803.4375";"13104"
"292";"2016";"2016";"";"";2016-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"7";"";"11350.588";"24310"
"293";"2016";"2016";"";"";2016-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"8";"";"9920.763";"23589"
"294";"2016";"2016";"";"";2016-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"9";"";"10160.56";"22009"
"277";"2017";"2017";"";"";2017-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"1";"";"12597.97";"30352"
"278";"2017";"2017";"";"";2017-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"2";"";"16948.373";"30352"
"279";"2017";"2017";"";"";2017-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"3";"";"14333.675";"27847"
"280";"2017";"2017";"";"";2017-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"4";"";"17989.54";"37450"
"281";"2017";"2017";"";"";2017-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"5";"";"6980.4707";"11834"
"282";"2017";"2017";"";"";2017-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"6";"";"7537.2812";"13883"
"283";"2017";"2017";"";"";2017-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"7";"";"11075.142";"23940"
"284";"2017";"2017";"";"";2017-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"8";"";"9861.105";"23096"
"285";"2017";"2017";"";"";2017-01-01T00:00:00Z;2023-03-27T00:00:00Z;"";"9";"";"10380.449";"21926"
