"ID","Nimetus","Liik","Staatus","Maakond","Tee nimi","Tee nr","Tee km","Lat","Lon","Kanalid ehk sõidurajad"
"27e4b","Ikla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Tallinna-Pärnu-Ikla tee","4","189.000","57.90175","24.41222","1: Pärnu - Ikla | 2: Ikla - Pärnu"
"","Imavere","PERIOODILINE","Aktiivne: ei ole avaandmetes","Järva maakond","Imavere - Viljandi - Karksi-Nuia tee","49","4.025","58.71203","25.75067",""
"26fa5","Joosu","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Põlva maakond","Võru-Põlva tee","64","11.400","57.93806","27.04758","1: Võru - Põlva | 2: Põlva - Võru"
"89f4a","Juuliku 1","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna ringtee","11","25.574","59.31633","24.6519985","1: Luige - Kanam 1 | 2: Luige - Kanama 2 | 3: Kanama - Luige 1 | 4: Kanama - Luige 2"
"988f4","Juuliku 2","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Saku-Laagri tee","11420","3.350","59.3190765","24.6413174","1: Juuliku - Tabasalu | 2: Tabasalu - Juuliku"
"eb8e5","Jägala","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Jägala-Käravete tee","13","2.245","59.42034","25.21556","1: Jägala - Käravete | 2: Käravete - Jägala"
"e41ad","Jämejala","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Viljandi maakond","Viljandi tee","50","0.944","58.3975258","25.59183","1: Aindu - Viljandi | 2: Viljandi - Aindu"
"f8ab3","Jäneda","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne-Viru maakond","Jägala-Käravete tee","13","42.278","59.25515","25.66988","1: Jägala - Käravete | 2: Kärevete - Jägala"
"3a681","Järve","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Ida-Viru maakond","Kohtla-Järve - Kukruse - Tammiku tee","93","9.202","59.4032","27.32182","1: K-Järve - Kukruse 1 | 1: Kohtla-Järve - E20 | 2: K-Järve - Kukruse 2 | 2: Kohtla-Järve - Kukru | 3: Kukruse - K-Järve 1 | 3: Kukruse - Kohtla-Jär | 4: Kukruse - K-Järve 2 | 4: Kukruse - Kohtla-Jär"
"e7739","Kaavere","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Jõgeva maakond","Jõgeva-Põltsamaa tee","37","13.777","58.70303","26.15417","1: Jõgeva - Põltsamaa | 2: Põltsamaa - Jõgeva"
"","Kabelimetsa","PERIOODILINE","Aktiivne: ei ole avaandmetes","Ida-Viru maakond","Kohtla-Järve - Kukruse - Tammiku tee","93","13.397","59.37554","27.34989",""
"2e0f9","Kadrina","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne-Viru maakond","Pärnu-Rakvere-Sõmeru tee","5","155.812","59.32329","26.09264","1: Pärnu - Rakvere | 2: Rakvere - Pärnu"
"da2f1","Kaimi","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tartu - Viljandi - Kilingi-Nõmme tee","92","17.000","58.34478","26.38526","1: Tartu - Viljandi | 2: Viljandi - Tartu"
"36408","Kakumäe","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Rannamõisa-Kloogaranna tee","11390","3.700","59.43507","24.58532","1: Tallinn - Rannam 1 | 1: Tallinn - Rannamõisa | 2: Rannamõisa - Tallinn | 2: Tallinn - Rannam 2 | 2: Tallinn - Rannamõisa | 3: Rannamõisa - Tall 1 | 3: Rannamõisa - Tallinn | 4: Rannamõisa - Tall 2 | 4: Rannamõisa - Tallinn"
"e141b","Kanaküla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Tartu - Viljandi - Kilingi-Nõmme tee","92","101.944","58.26421","25.24982","1: Viljandi - Kilingi-N | 2: Kilingi-Nõmme - Vilj"
"74018","Kanama","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Pärnu-Ikla tee","4","21.160","59.29278","24.54581","1: Tallinn - Pärnu 1 | 2: Tallinn - Pärnu 2 | 3: Pärnu - Tallinn 1 | 4: Pärnu - Tallinn 2"
"74b4b","Kandiküla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","181.691","58.38357","26.67175","1: Tallinn - Tartu | 2: Tartu - Tallinn"
"1d86e","Kangru","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Rapla-Türi tee","15","4.617","59.35939","24.76826","1: Tallinn - Rapla | 2: Rapla - Tallinn"
"","Karjääri","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Tallinna-Saku tee","11340","7.568","59.32372","24.68976",""
"20f31","Karkuse","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne-Viru maakond","Rakvere-Luige tee","21","5.921","59.30895","26.394","1: Rakvere - Luige | 2: Luige - Rakvere"
"ddf05","Karla 1","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna ringtee","11","7.878","59.3764648","24.91401","1: Väo - Jüri 1 | 2: Väo - Jüri 2 | 3: Jüri - Väo 1 | 4: Jüri - Väo 2"
"f6a58","Karla 2","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna ringtee","11","9.120","59.3665733","24.90396","1: Väo - Jüri 1 | 2: Väo - Jüri 2 | 3: Jüri - Väo 1 | 4: Jüri - Väo 2"
"d39ed","Kassinurme","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Jõgeva maakond","Tartu-Jõgeva-Aravete tee","39","37.615","58.69278","26.4485","1: Tartu - Jõgeva | 2: Jõgeva - Tartu"
"7081b","Kehtna","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Rapla maakond","Tallinna-Rapla-Türi tee","15","59.718","58.91592","24.87825","1: Rapla - Türi | 2: Türi - Rapla"
"","Keila","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Tallinna-Paldiski tee","8","24.3","59.31656","24.44798",""
"","Kiili","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Kurna-Tuhala tee","11115","5.202","59.32379","24.81922",""
"","Kiisa","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Tõdva-Hageri tee","11240","4.2","59.24835","24.68355",""
"7f273","Kloogaranna","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Paldiski tee","8","39.400","59.33937","24.21034","1: Tallinn - Paldiski | 2: Paldiski - Tallinn"
"077a6","Kodasoo","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Narva tee","1","32.100","59.44065","25.29038","1: Tallinn - Narva 1 | 2: Tallinn - Narva 2 | 3: Narva - Tallinn 3 | 4: Narva - Talinn 4"
"f4e48","Kohila","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Rapla maakond","Tallinna-Rapla-Türi tee","15","34.693","59.10775","24.7972","1: Tallinn - Rapla | 2: Rapla - Tallinn"
"d6805","Kolgaküla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Liiapeksi-Loksa tee","85","8.260","59.52597","25.69953","1: Liiapeksi - Loksa | 2: Loksa - Liiapeksi"
