"ID","Nimetus","Liik","Staatus","Maakond","Tee nimi","Tee nr","Tee km","Lat","Lon","Kanalid ehk sõidurajad"
"87531","Loodi","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Viljandi maakond","Imavere - Viljandi - Karksi-Nuia tee","49","60.583","58.26861","25.58486","1: Viljandi - Karksi-Nu | 2: Karksi-Nuia - Viljan"
"7e5d7","Lähte","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tartu-Jõgeva-Aravete tee","39","9.832","58.49149","26.68307","1: Tartu - Jõgeva | 2: Jõgeva - Tartu"
"3df44","Maeru","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Keila-Haapsalu tee","17","10.554","59.26516","24.29176","1: Keila - Haapaslu | 2: Haapsalu - Keila"
"05061","Maramaa","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tartu-Jõgeva-Aravete tee","39","3.379","58.4357","26.68058","1: Tartu - Jõgeva | 2: Jõgeva - Tartu"
"b060a","Murati","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Võru maakond","Riia-Pihkva tee","7","182.380","57.58394","27.06082","1: Riia - Pihkva | 2: Pihkva - Riia"
"401ef","Mõisaküla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Viljandi maakond","Valga-Uulu tee","6","77.717","58.11777","25.24616","1: Valga - Uulu | 2: Uulu - Valga"
"7c710","Mäeküla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Järva maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","92.719","58.8868","25.68083","1: Tallinn - Tartu | 2: Tartu - Tallinn"
"09944","Mäetaguse","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Ida-Viru maakond","Jõhvi-Tartu-Valga tee","3","21.720","59.19657","27.34607","1: Jõhvi - Tartu | 2: Tartu - Jõhvi"
"1630d","Mäo 1","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Järva maakond","Pärnu-Rakvere-Sõmeru tee","5","94.349","58.9132767","25.6006355","1: Pärnu - Rakvere 1 | 2: Pärnu - Rakvere 2 | 3: Rakvere - Pärnu 3 | 4: Rakvere - Pärnu 4"
"a8f12","Mäo 2","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Järva maakond","Pärnu-Rakvere-Sõmeru tee","5","96.549","58.92544","25.6269855","1: Pärnu - Rakvere | 2: Rakvere - Pärnu"
"57542","Märja","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tartu - Viljandi - Kilingi-Nõmme tee","92","0.697","58.36389","26.66674","1: Tartu - Viljandi | 2: Viljandi - Tartu"
"","Naistevalla","PERIOODILINE","Aktiivne: ei ole avaandmetes","Rapla maakond","Tallinna-Pärnu-Ikla tee","4","71.322","58.86131","24.43663",""
"","Nasva","PERIOODILINE","Aktiivne: ei ole avaandmetes","Saare maakond","Kuressaare-Sääre tee","77","5.326","58.23113","22.41215",""
"","Näpi","PERIOODILINE","Aktiivne: ei ole avaandmetes","Lääne-Viru maakond","Pärnu-Rakvere-Sõmeru tee","5","182.397","59.35636","26.40022",""
"81f42","Olgina","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Ida-Viru maakond","Tallinna-Narva tee","1","206.400","59.3900032","28.1026421","1: Tallinn - Narva | 2: Narva - Tallinn"
"d062e","Paikuse","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Pärnu-Tori tee","59","2.372","58.37018","24.60599","1: Pärnu - Tori | 2: Tori - Pärnu"
"83b34","Paju","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Valga maakond","Jõhvi-Tartu-Valga tee","3","213.030","57.82593","26.10801","1: Tartu - Valga | 2: Valga - Tartu"
"4a496","Pappsaare 1","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Pärnu-Lihula tee","60","4.940","58.40211","24.4226284","1: Lane 1 | 2: Lane 2"
